Nom,Adresse,Emails,Site,Activité,Numéro de Téléphone,latitude,longitude
LOCA-PARC,RUE HIPPOLYTE LUCAS 35136 Saint-Jacques-de-la-Lande,contact@locaparc.fr,http://www.locaparc.fr/,Location de camions avec chauffeur,Tél. : 08 20 00 04 29 - 02 99 59 40 60,,48.0670376,-1.7052636
MINOTERIE PAULIC SA,LE GOURET 56920 Saint-Gérand,,http://www.paulicmeunerie.com/,Meunerie,,48.0919489,-2.8934526
BIOTRIAL RESEARCH,RUE JEAN LOUIS BERTRAND 35000 RENNES,contact@biotrial.com,http://www.help-clinical-research.com/,,48.124166,-1.6929885
L'IMPRIMERIE SOLIDAIRE,1 RUE BELLATRIX 53470 Martigné-sur-Mayenne,,http://www.imprimerie-solidaire.com/,Reliure et activités connexes,,48.1859,-0.7134
LE DOMAINE DE LA REPOSEE,la Quinte 35340 LIFFRE,contact@hotel-reposee.fr,https://www.hotel-reposee.fr,Hôtels et hébergement similaire,,48.2022743,-1.5250961
CAP MALO LE GOLF,AVENUE PHARE DU GRAND JARDIN 35520 LA MEZIERE,contact@golfcapmalo.fr,https://www.golfcapmalo.fr,Centres commerciaux,,48.2465,-1.725
SUERTE,54 RUE CENTRE COMMERCIAL DU GROSSET 35360 Montauban-de-Bretagne,,http://www.drinksuerte.com/,Commerce de gros (commerce interentreprises) de meubles de tapis et d'appareils d'éclairage,Tél. : 05 59 50 57 63 - 02 23 43 18 13,48.2093,-1.9908
M.C.P.A. MENUISERIE CHARPENTE DU PAYS D'ANCENIS,115 RUE HENRI LE CHATELIER 44150 Saint-Herblon,,http://www.mcpa-menuiserie.fr/,Travaux de menuiserie bois et PVC,,47.3677,-1.2026
C.M.E.,58 RUE DU CAMP DE PERAN 22950 Trégueux,,http://www.cme22.fr/,Travaux de maçonnerie générale et gros œuvre de bâtiment,Tél. : 04 74 54 03 29 - 02 96 71 04 91,48.459788,-2.7876191
Iggdrasil,HUCHELOUP BEAUVAIS 35380 PAIMPONT,contact@iggdrasil.net,http://iggdrasil.net,Programmation informatique,,47.9833,-2.0333
SOCIETE NOUVELLE D'ETUDES ET DE REALISATIONS D'OUTILLAGES SARL -,23 VOIE DE LA GUITERNIERE ZI DU FRESNE 53170 MESLAY DU MAINE,contact@snero.com,https://www.snero.com,Fabrication d'autres outillages,,42.542521,-88.156797
VALOR SERVICES,29 RUE DES JARDINS 50600 Saint-Hilaire-du-Harcouët,,http://www.valor-services.com/,Activités des sièges sociaux,,48.5715456,-1.0944288
RENNES AUTOMOBILES,35132 Vezin-le-Coquet,,http://www.rennesautomobiles.com/,Commerce de voitures et de véhicules automobiles légers,,48.1180947,-1.751177
LES JARDINS MARAICHERS DES BORDS DE RANCE,LA MATZ 22490 PLOUER SUR RANCE,contact@jardinsmaraichers.fr,http://jardinsmaraichers.fr,Culture de légumes," de melons"," de racines et de tubercules",48.5031568,-1.9853979
MJC BREQUIGNY,15 AVENUE GEORGES GRAFF 35200 Rennes,direction@mjcbrequigny.com,secretariat@mjcbrequigny.com,http://www.mjcbrequigny.com/,Gestion de salles de spectacles,,48.0836835,-1.6917428
SARL BORDAIS,Za Maudon 50300 PONTS,,https://www.bordais.fr,Services des traiteurs,,48.6806,-1.4134
C.F. MAITRISE D'OEUVRE,ZA LA CROIX DANIEL 44530 ST GILDAS DES BOIS,contact@cf-maitrisedoeuvre.fr,http://cf-maitrisedoeuvre.fr,Activités d'architecture,,47.4746,-2.0577
KERYO,22 RUE DE LA PILATE 35136 ST JACQUES DE LA LANDE,contact@institutkeryo.fr,http://institutkeryo.fr,Soins de beauté,,48.0942738,-1.6922601
TECHNILAB,ZI DU CHATEAU ROUGE 44522 Mésanger,technilab@techni-lab.fr,technimesure@techni-lab.fr,http://www.techni-lab.fr/,Recherche-développement en autres sciences physiques et naturelles,Tél. : 01 60 86 96 48 - 02 51 14 02 21,47.4133585,-1.1930976
PIGEAULT IMMOBILIER AGENCES,25 RUE DE LA MONNAIE 35000 Rennes,,http://www.pigeaultimmobilier.com/,Agences immobilières,Tél. : 02 99 30 82 18 - 02 99 31 58 44,48.1107056,-1.6844825
LOCA-PARC,RUE HIPPOLYTE LUCAS 35136 Saint-Jacques-de-la-Lande,contact@locaparc.fr,http://www.locaparc.fr/,Location de camions avec chauffeur,Tél. : 08 20 00 04 29 - 02 99 59 40 60,,48.0670376,-1.7052636
MINOTERIE PAULIC SA,LE GOURET 56920 Saint-Gérand,,http://www.paulicmeunerie.com/,Meunerie,,48.0919489,-2.8934526
BIOTRIAL RESEARCH,RUE JEAN LOUIS BERTRAND 35000 RENNES,contact@biotrial.com,http://www.help-clinical-research.com/,,48.124166,-1.6929885
L'IMPRIMERIE SOLIDAIRE,1 RUE BELLATRIX 53470 Martigné-sur-Mayenne,,http://www.imprimerie-solidaire.com/,Reliure et activités connexes,,48.1859,-0.7134
LE DOMAINE DE LA REPOSEE,la Quinte 35340 LIFFRE,contact@hotel-reposee.fr,https://www.hotel-reposee.fr,Hôtels et hébergement similaire,,48.2022743,-1.5250961
CAP MALO LE GOLF,AVENUE PHARE DU GRAND JARDIN 35520 LA MEZIERE,contact@golfcapmalo.fr,https://www.golfcapmalo.fr,Centres commerciaux,,48.2465,-1.725
SUERTE,54 RUE CENTRE COMMERCIAL DU GROSSET 35360 Montauban-de-Bretagne,,http://www.drinksuerte.com/,Commerce de gros (commerce interentreprises) de meubles de tapis et d'appareils d'éclairage,Tél. : 05 59 50 57 63 - 02 23 43 18 13,48.2093,-1.9908
M.C.P.A. MENUISERIE CHARPENTE DU PAYS D'ANCENIS,115 RUE HENRI LE CHATELIER 44150 Saint-Herblon,,http://www.mcpa-menuiserie.fr/,Travaux de menuiserie bois et PVC,,47.3677,-1.2026
C.M.E.,58 RUE DU CAMP DE PERAN 22950 Trégueux,,http://www.cme22.fr/,Travaux de maçonnerie générale et gros œuvre de bâtiment,Tél. : 04 74 54 03 29 - 02 96 71 04 91,48.459788,-2.7876191
Iggdrasil,HUCHELOUP BEAUVAIS 35380 PAIMPONT,contact@iggdrasil.net,http://iggdrasil.net,Programmation informatique,,47.9833,-2.0333
SOCIETE NOUVELLE D'ETUDES ET DE REALISATIONS D'OUTILLAGES SARL -,23 VOIE DE LA GUITERNIERE ZI DU FRESNE 53170 MESLAY DU MAINE,contact@snero.com,https://www.snero.com,Fabrication d'autres outillages,,42.542521,-88.156797
VALOR SERVICES,29 RUE DES JARDINS 50600 Saint-Hilaire-du-Harcouët,,http://www.valor-services.com/,Activités des sièges sociaux,,48.5715456,-1.0944288
RENNES AUTOMOBILES,35132 Vezin-le-Coquet,,http://www.rennesautomobiles.com/,Commerce de voitures et de véhicules automobiles légers,,48.1180947,-1.751177
LES JARDINS MARAICHERS DES BORDS DE RANCE,LA MATZ 22490 PLOUER SUR RANCE,contact@jardinsmaraichers.fr,http://jardinsmaraichers.fr,Culture de légumes," de melons"," de racines et de tubercules",48.5031568,-1.9853979
MJC BREQUIGNY,15 AVENUE GEORGES GRAFF 35200 Rennes,direction@mjcbrequigny.com,secretariat@mjcbrequigny.com,http://www.mjcbrequigny.com/,Gestion de salles de spectacles,,48.0836835,-1.6917428
SARL BORDAIS,Za Maudon 50300 PONTS,,https://www.bordais.fr,Services des traiteurs,,48.6806,-1.4134
C.F. MAITRISE D'OEUVRE,ZA LA CROIX DANIEL 44530 ST GILDAS DES BOIS,contact@cf-maitrisedoeuvre.fr,http://cf-maitrisedoeuvre.fr,Activités d'architecture,,47.4746,-2.0577
KERYO,22 RUE DE LA PILATE 35136 ST JACQUES DE LA LANDE,contact@institutkeryo.fr,http://institutkeryo.fr,Soins de beauté,,48.0942738,-1.6922601
TECHNILAB,ZI DU CHATEAU ROUGE 44522 Mésanger,technilab@techni-lab.fr,technimesure@techni-lab.fr,http://www.techni-lab.fr/,Recherche-développement en autres sciences physiques et naturelles,Tél. : 01 60 86 96 48 - 02 51 14 02 21,47.4133585,-1.1930976
PIGEAULT IMMOBILIER AGENCES,25 RUE DE LA MONNAIE 35000 Rennes,,http://www.pigeaultimmobilier.com/,Agences immobilières,Tél. : 02 99 30 82 18 - 02 99 31 58 44,48.1107056,-1.6844825
ETABLISSEMENTS HENRY LECOMTE,ROUTE DE JANZE 35150 Corps-Nuds,contact@tracto-pieces.fr,http://www.tracto-pieces.fr/,Commerce de gros (commerce interentreprises) de matériel agricole,,47.9591,-1.4983
BEZIADE DELPHINE,79 RUE PARIS 35120 DOL DE BRETAGNE,,https://www.willowshouse.com,Vente en ligne et par correspondance,,48.5528093,-1.7373544
STARTUP,Cap Systems,,https://www.cap-systems-ambon.fr,Mode," Textile"," Beauté",-34.0212504,18.4681152
LEON LE COCHON,11 BIS RUE DE LA FREBARDIERE 35510 Cesson-Sévigné,,http://www.leonlecochon.fr/,Restauration traditionnelle,,48.1014004,-1.6288173
AUTOCARS JOLLIVET,2 BIS AVENUE DE BELLEVUE 35136 Saint-Jacques-de-la-Lande,,http://www.autocarsjollivet.fr/,Transports routiers réguliers de voyageurs,,48.0801688,-1.7344054
SCARABEE,132 RUE EUGENE POTTIER 35000 Rennes,contact@scarabee-biocoop.fr,magasin.rennes@scarabee-biocoop.fr,http://www.scarabee-biocoop.fr/,Supermarchés,Tél. : 09 70 91 39 96 - 02 99 67 38 63,48.1020029,-1.7133493
BREGER ORGANISATION SERVICES,173 BOULEVARD DES LOGES 53000 Laval,commercial@breger.fr,http://www.breger.fr/,Affrètement et organisation des transports,,48.0555474,-0.8002118
KOVALEX,34 RUE DE PARIS 22000 Saint-Brieuc,,http://www.kovalex.fr/,Activités juridiques,,48.5042694,-2.7418406
Z MODELS DISTRIBUTION,2 RUE DE L ECUSSON 56120 Josselin,contact@zmodels.fr,http://www.zmodels.fr/,Commerce de gros (commerce interentreprises) non spécialisé,,47.9152,-2.5121
ALARME DETECTION EXTINCTION FORMATION INCENDIE,14 RUE DU MOTTAY 35400 Saint-Malo,contact@adefi-securite.com,comptabilite@adefi-securite.com,http://www.adefi-securite.com/,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,,48.65,-2.0167
KERLOG,2 RUE CARDENOUAL 22000 Saint-Brieuc,contact@kerlog.com,https://www.kerlog.com,,,48.5123209,-2.7652784
MANITOU GLOBAL SERVICES,338 RUE DU TERTRE 44150 Saint-Herblon,,http://www.toyota-manutention.com/,Location et location-bail d'autres machines équipements et biens matériels n.c.a.,Tél. : 02 40 09 13 13 - 01 64 77 85 18,47.3677,-1.2026
SCA CAVE VINICOLE D'AZE,En Tarroux 71260 AZE,,https://www.caveaze.com,Vinification,,46.4319516,4.7606877
HOUSSARD MOBILIER S.A.S.,5 RUE VICTOR LEMARCHAND 50300 Saint-Senier-sous-Avranches,,http://www.houssardmobilier.fr/,Fabrication de meubles de bureau et de magasin,,48.6809947,-1.3380152
